time,longitude,latitude,slhf,ssr,sshf,str,u10,v10,t2m
2018-02-01,-88.0,30.25,-2199602.0,12075462.0,37092.0,-3522209.0,-2.3038814,1.6918806,291.028
2018-03-01,-88.0,30.25,-10145608.0,17810222.0,-1473969.5,-7364083.5,0.1263676,0.024133056,290.7353
2018-04-01,-88.0,30.25,-9405449.0,20946546.0,-1233261.2,-6897647.5,0.5071355,-0.12173541,292.3804
2018-05-01,-88.0,30.25,-8385706.5,23038878.0,-673134.25,-6097516.5,-0.025866311,1.5012776,298.3183
2018-06-01,-88.0,30.25,-9406888.0,21821024.0,-628745.0,-4836115.5,2.2261457,1.9698008,300.92328
2018-07-01,-88.0,30.25,-9650490.0,19828662.0,-856945.0,-4650026.0,1.6013396,0.6984349,301.27136
2018-08-01,-88.0,30.25,-10217933.0,18197882.0,-1032518.5,-4672694.0,-0.07176843,1.9425069,300.75317
2018-09-01,-88.0,30.25,-10108546.0,16223451.0,-1095212.5,-4598258.5,-1.4811834,1.9604009,300.69748
2018-10-01,-88.0,30.25,-15343634.0,14680146.0,-1750982.0,-6164888.0,-2.388971,-0.61494744,298.02042
2018-11-01,-88.0,30.25,-15039942.0,10102660.0,-4399840.0,-6851889.5,0.046283044,-1.2610495,290.6154
2018-12-01,-88.0,30.25,-7881232.5,8063030.5,-2045689.5,-5256688.0,-0.26624206,-0.05774808,288.60956
2019-01-01,-88.0,30.25,-8997048.0,10917371.0,-2697798.0,-6672232.0,0.24551779,-1.0126882,286.4391
2019-02-01,-88.0,30.25,-3821331.0,10378124.0,-92719.5,-3042699.5,-1.86012,0.9543842,289.7836
2019-03-01,-88.0,30.25,-8142824.5,16648328.0,-1789422.2,-6007898.5,-0.85906315,-0.66636384,289.20734
2019-04-01,-88.0,30.25,-7110848.0,21039726.0,-682591.75,-6520513.5,-0.6432255,1.5738721,292.87262
2019-05-01,-88.0,30.25,-8080215.0,23515100.0,-564373.25,-6223930.5,-1.0087334,2.7939348,298.26227
2019-06-01,-88.0,30.25,-10754432.0,22072852.0,-686557.75,-5091474.5,1.6722682,2.132317,300.9219
2019-07-01,-88.0,30.25,-10751913.0,21549090.0,-702727.0,-4937226.0,0.39018273,1.6227969,301.36154
2019-08-01,-88.0,30.25,-9050662.0,18824060.0,-813776.0,-4579280.5,1.897506,0.9935694,301.37384
2019-09-01,-88.0,30.25,-11534891.0,19423888.0,-477120.25,-5727446.5,-1.1197041,0.6775965,301.68607
2019-10-01,-88.0,30.25,-12524049.0,12655729.0,-1755710.8,-5266704.0,-1.5655408,-0.5404277,297.48618
2019-11-01,-88.0,30.25,-14856072.0,12231123.0,-4372688.0,-8067743.5,-0.6493295,-2.6214314,289.81912
2019-12-01,-88.0,30.25,-8965384.0,8748430.0,-2565851.0,-5296647.0,-0.7977789,-1.8754411,288.62457
2020-01-01,-88.0,30.25,-6979512.0,9444426.0,-1477172.8,-5342405.0,-1.5724994,-0.40633744,288.20102
2020-02-01,-88.0,30.25,-6323911.5,12470184.0,-1316853.2,-5224531.0,0.2474711,0.32493007,288.1173
2020-03-01,-88.0,30.25,-3502527.0,16278326.0,139751.5,-4615760.5,-0.33350822,2.5881562,293.10217
2020-04-01,-88.0,30.25,-10105668.0,20962304.0,-872046.5,-6512395.5,0.015152611,0.35686713,294.27042
2020-05-01,-88.0,30.25,-9227696.0,22451276.0,-551864.75,-6136421.0,-0.74845856,1.6515629,296.60352
2020-06-01,-88.0,30.25,-9958500.0,20528732.0,-730336.75,-5139024.5,-0.448996,2.2524776,299.98322
2020-07-01,-88.0,30.25,-9639335.0,18846608.0,-868233.0,-4342372.5,0.68488413,1.6640205,301.00528
2020-08-01,-88.0,30.25,-10949816.0,19319842.0,-960672.25,-4826837.5,0.9288002,1.9178182,301.35266
2020-09-01,-88.0,30.25,-17089144.0,15202278.0,-2272669.0,-4970964.5,-2.777308,-1.6106582,299.62558
2020-10-01,-88.0,30.25,-11413630.0,14949905.0,-1323107.2,-6176696.5,-1.99099,-0.9637633,296.4737
2020-11-01,-88.0,30.25,-12440210.0,12206130.0,-1814438.8,-6810243.5,-2.841156,-2.699009,293.25418
2020-12-01,-88.0,30.25,-11007028.0,10155090.0,-3233518.8,-7681964.0,-0.21826458,-0.91325295,287.57828
