YYYY,MM,DD,hh,mm,ss,Q_AR_TR_sum (m^3/s)
1961,4,26,0,0,0,1543.2656
1961,4,27,0,0,0,1597.06752
1961,4,28,0,0,0,1902.88896
1961,4,29,0,0,0,2101.10656
1961,4,30,0,0,0,2205.87872
1961,5,1,0,0,0,2239.85888
1961,5,2,0,0,0,2010.4928
1961,5,3,0,0,0,1874.57216
1961,5,4,0,0,0,1857.58208
1961,5,5,0,0,0,1781.12672
1961,5,6,0,0,0,1656.5328
1961,5,7,0,0,0,1483.80032
1961,5,8,0,0,0,1373.3648
1961,5,9,0,0,0,1356.37472
1961,5,10,0,0,0,1279.91936
1961,5,11,0,0,0,1390.35488
1961,5,12,0,0,0,1313.89952
1961,5,13,0,0,0,1206.29568
1961,5,14,0,0,0,1209.12736
1961,5,15,0,0,0,1211.95904
1961,5,16,0,0,0,1078.87008
1961,5,17,0,0,0,982.59296
1961,5,18,0,0,0,903.30592
1961,5,19,0,0,0,1050.55328
1961,5,20,0,0,0,962.7712
1961,5,21,0,0,0,900.47424
1961,5,22,0,0,0,872.15744
1961,5,23,0,0,0,813.258496
1961,5,24,0,0,0,721.228896
1961,5,25,0,0,0,660.347776
1961,5,26,0,0,0,783.809024
1961,5,27,0,0,0,839.876288
1961,5,28,0,0,0,880.086144
1961,5,29,0,0,0,982.59296
1961,5,30,0,0,0,934.4544
1961,5,31,0,0,0,844.123808
1961,6,1,0,0,0,717.264544
1961,6,2,0,0,0,629.482464
1961,6,3,0,0,0,616.456736
1961,6,4,0,0,0,620.987424
1961,6,5,0,0,0,628.066624
1961,6,6,0,0,0,582.759744
1961,6,7,0,0,0,508.003392
1961,6,8,0,0,0,447.122272
1961,6,9,0,0,0,421.92032
1961,6,10,0,0,0,517.631104
1961,6,11,0,0,0,606.545856
1961,6,12,0,0,0,662.046784
1961,6,13,0,0,0,643.924032
1961,6,14,0,0,0,644.773536
1961,6,15,0,0,0,603.714176
1961,6,16,0,0,0,708.203168
1961,6,17,0,0,0,777.579328
1961,6,18,0,0,0,814.108
1961,6,19,0,0,0,921.71184
1961,6,20,0,0,0,1214.79072
1961,6,21,0,0,0,2171.89856
1961,6,22,0,0,0,2231.36384
1961,6,23,0,0,0,1781.12672
1961,6,24,0,0,0,1551.76064
1961,6,25,0,0,0,1747.14656
1961,6,26,0,0,0,2271.00736
1961,6,27,0,0,0,2959.1056
1961,6,28,0,0,0,2701.42272
1961,6,29,0,0,0,2316.31424
1961,6,30,0,0,0,2027.48288
1961,7,1,0,0,0,1925.5424
1961,7,2,0,0,0,1710.33472
1961,7,3,0,0,0,1622.55264
1961,7,4,0,0,0,1458.3152
1961,7,5,0,0,0,1268.59264
1961,7,6,0,0,0,1024.218656
1961,7,7,0,0,0,869.892096
1961,7,8,0,0,0,763.420928
1961,7,9,0,0,0,826.85056
1961,7,10,0,0,0,877.8208
1961,7,11,0,0,0,991.088
1961,7,12,0,0,0,1319.56288
1961,7,13,0,0,0,1605.56256
1961,7,14,0,0,0,1939.7008
1961,7,15,0,0,0,2021.81952
1961,7,16,0,0,0,2013.32448
1961,7,17,0,0,0,2010.4928
1961,7,18,0,0,0,1993.50272
1961,7,19,0,0,0,1959.52256
1961,7,20,0,0,0,1798.1168
1961,7,21,0,0,0,1574.41408
1961,7,22,0,0,0,1472.4736
1961,7,23,0,0,0,1356.37472
1961,7,24,0,0,0,1248.77088
1961,7,25,0,0,0,1206.29568
1961,7,26,0,0,0,1143.99872
1961,7,27,0,0,0,976.9296
1961,7,28,0,0,0,869.32576
1961,7,29,0,0,0,889.14752
1961,7,30,0,0,0,769.933792
1961,7,31,0,0,0,729.1576
1961,8,1,0,0,0,696.59328
1961,8,2,0,0,0,580.4944
1961,8,3,0,0,0,513.383584
1961,8,4,0,0,0,639.393344
1961,8,5,0,0,0,650.153728
1961,8,6,0,0,0,584.175584
1961,8,7,0,0,0,733.40512
1961,8,8,0,0,0,750.3952
1961,8,9,0,0,0,739.634816
1961,8,10,0,0,0,645.906208
1961,8,11,0,0,0,603.431008
1961,8,12,0,0,0,616.173568
1961,8,13,0,0,0,604.56368
1961,8,14,0,0,0,626.084448
1961,8,15,0,0,0,592.387456
1961,8,16,0,0,0,651.852736
1961,8,17,0,0,0,741.90016
1961,8,18,0,0,0,622.9696
1961,8,19,0,0,0,688.09824
1961,8,20,0,0,0,815.52384
1961,8,21,0,0,0,699.42496
1961,8,22,0,0,0,556.991456
1961,8,23,0,0,0,596.918144
1961,8,24,0,0,0,505.45488
