,YYYY,MM,T,S,O,Q,time,longitude,latitude,slhf,ssr,sshf,str,u10,v10,t2m
33,2012,10,23.1934,21.8306,7.2548,512.4793,10/1/2012,-88,30.25,-16674985,16844740,-2623053.5,-8091044,0.001723796,-1.6539204,295.51382
34,2012,11,17.0752,26.4926,8.2155,345.6349,11/1/2012,-88,30.25,-12683091,12863550,-2662256.2,-8328901,-0.6977953,-1.863663,290.62735
35,2012,12,16.5885,26.5678,8.3563,1566.531,12/1/2012,-88,30.25,-8613835,9631328,-2413311,-6761744.5,-0.31751573,0.53478587,289.35117
36,2013,1,13.3281,11.3885,9.7957,3780.2928,1/1/2013,-88,30.25,-5794609.5,9626167,-1555578.2,-4889675.5,-1.1878248,-0.2794953,288.21228
37,2013,2,14.354,7.1239,9.6506,5137.5777,2/1/2013,-88,30.25,-7209799.5,12531580,-1282531.8,-5846269.5,-0.6269888,-0.37202212,287.90552
38,2013,3,14.9336,10.3902,9.7702,3081.5986,3/1/2013,-88,30.25,-10311128,18866712,-2469140.5,-7896309.5,0.50506014,-0.93533707,287.6261
39,2013,4,20.4658,10.0347,8.6292,2766.457,4/1/2013,-88,30.25,-6423942.5,18760220,-792420.5,-5530392,-2.5828345,0.8481538,292.764
40,2013,5,23.2267,10.1911,7.7737,2905.9157,5/1/2013,-88,30.25,-10063928,21943814,-1058450.2,-6158773,-0.8353796,1.8327659,295.7601
41,2013,6,28.7671,15.5399,6.7135,1041.1804,6/1/2013,-88,30.25,-9570609,21604780,-722099.5,-4724462,1.2654972,2.312388,300.20935
42,2013,7,28.4653,15.7811,7.0215,1821.976,7/1/2013,-88,30.25,-9916400,18317412,-974705.75,-4551973.5,0.355512,1.2722822,300.06622
43,2013,8,28.9878,15.684,5.562,1166.9758,8/1/2013,-88,30.25,-9776068,17834400,-926198,-4652346,-0.7037772,0.9249387,300.5636
44,2013,9,28.8904,19.2548,5.4685,517.414,9/1/2013,-88,30.25,-11596421,17651572,-985993.75,-5409038.5,-2.108187,0.41938215,300.36853
45,2013,10,23.8704,23.4818,7.1457,459.6639,10/1/2013,-88,30.25,-13090413,14285694,-1642678.8,-6501008.5,-2.236127,-0.5771213,296.37872
46,2013,11,16.709,26.078,8.3582,617.4101,11/1/2013,-88,30.25,-17266536,10959750,-4495635,-7118319,-3.4789026,-3.1387663,290.46405
47,2013,12,12.923,17.9188,10.0548,2570.8183,12/1/2013,-88,30.25,-8814258,8947286,-2832033.5,-5864298.5,-0.77910066,-1.2371534,288.1559
48,2014,1,9.2458,13.7572,10.9363,2207.797,1/1/2014,-88,30.25,-12145513,10685372,-5595143.5,-7762198.5,0.30887738,-2.2165558,283.0508
49,2014,2,11.6115,11.7467,10.9636,3092.9935,2/1/2014,-88,30.25,-5140808,12438400,-1825421.8,-4942076,-0.5871907,-0.765799,286.2191
50,2014,3,15.1554,11.348,9.7194,2390.8514,3/1/2014,-88,30.25,-5624412.5,14900734,-1070958.5,-5480522,-0.76799136,-0.14925562,288.07086
51,2014,4,19.4308,4.3246,8.9005,5040.296,4/1/2014,-88,30.25,-5400961.5,19925916,-812098.25,-5463758.5,-0.9039886,1.2361549,292.185
52,2014,5,24.4743,7.5248,7.5196,1790.0876,5/1/2014,-88,30.25,-9496125,22056010,-989044.5,-6688152,-0.28125793,2.2363958,296.4894
53,2014,6,28.391,12.4985,6.577,1233.9518,6/1/2014,-88,30.25,-8766400,22127728,-558271.5,-4980559,0.9693308,2.342739,300.2121
54,2014,7,28.4943,19.3356,6.4339,576.7127,7/1/2014,-88,30.25,-10614460,22589552,-665507.25,-5418106,2.485932,0.48506826,300.63498
55,2014,8,29.4943,23.9712,6.1733,318.2534,8/1/2014,-88,30.25,-10041259,20483636,-586949,-4983194.5,1.1109438,0.497073,301.50195
56,2014,9,28.6943,24.8091,6.1552,306.7276,9/1/2014,-88,30.25,-12356371,16636104,-1349039,-5277880,-2.129551,-0.29229277,299.96616
57,2014,10,23.4911,24.4484,7.0142,579.6266,10/1/2014,-88,30.25,-13633748,16620076,-1469850.8,-7782020,0.23648387,-0.215961,296.47507
58,2014,11,14.7852,20.6073,9.0687,678.3478,11/1/2014,-88,30.25,-17579584,11904044,-5057897.5,-8670293,-0.80363876,-1.9557368,288.99112
59,2014,12,14.7059,20.8158,9.2461,1551.1486,12/1/2014,-88,30.25,-6754261.5,9653876,-1598442,-6037525,-1.4261253,-1.6149617,288.77353
60,2015,1,11.4836,11.3501,10.4069,2808.3871,1/1/2015,-88,30.25,-10448940,11015169,-3726985.8,-7092171.5,-0.8500292,-2.745782,285.87033
61,2015,2,11.597,18.921,8.3836,1627.3362,2/1/2015,-88,30.25,-11508264,13214264,-4165691,-7224490,-0.43959582,-2.3437376,284.71164
62,2015,3,16.4299,11.8228,9.2844,2764.7245,3/1/2015,-88,30.25,-4583440,15143871,-1067755.2,-4406370.5,-0.8622372,0.5336534,290.76944
63,2015,4,22.0041,11.4396,7.748,3004.3181,4/1/2015,-88,30.25,-4303856,16914828,-239005,-4514334,-0.5646059,1.7133983,294.96317
64,2015,5,25.9985,12.8149,6.853,1036.3218,5/1/2015,-88,30.25,-8171970.5,22442040,-545305.75,-6010323,-2.0403104,2.1779575,297.74716
65,2015,6,28.671,16.7617,6.4867,692.7328,6/1/2015,-88,30.25,-9810252,22130172,-747726.25,-5061637,1.2094624,1.8772739,300.40613
66,2015,7,29.6568,20.1324,6.4331,599.9051,7/1/2015,-88,30.25,-9423800,22604764,-353410.5,-4661729,3.1511467,0.8450961,301.98938
67,2015,8,29.3995,25.7436,6.1908,388.0863,8/1/2015,-88,30.25,-12481949,20631420,-976841.5,-5340507,0.92257416,0.7858653,301.3687
68,2015,9,26.7859,25.9009,4.3628,259.8161,9/1/2015,-88,30.25,-12681292,17157692,-1257515,-5654908.5,-1.3140557,-0.83963925,299.59448
69,2015,10,22.4815,27.9638,7.1204,341.5006,10/1/2015,-88,30.25,-13713989,14667649,-1520799.2,-6465372,-1.6413525,-1.152441,296.10272
70,2015,11,19.0915,21.5905,8.7019,1465.1395,11/1/2015,-88,30.25,-10767745,10748398,-2184501,-6026981.5,-3.2213135,-1.4932159,293.21216
71,2015,12,17.6073,17.1388,8.9591,2705.8073,12/1/2015,-88,30.25,-6513539,8518062,-1069128.2,-5110452,-1.6475786,0.8698982,291.5377
72,2016,1,12.0465,8.2111,10.2561,4033.4085,1/1/2016,-88,30.25,-11844700,10429468,-4071268.5,-7270142.5,-0.6936446,-2.230033,285.55127
73,2016,2,13.6712,10.5424,10.2543,3913.7723,2/1/2016,-88,30.25,-11001271,14795330,-2384481,-7687025,1.487683,0.028210104,287.5619
74,2016,3,18.4367,5.9502,9.1343,3278.172,3/1/2016,-88,30.25,-4945063.5,14964303,-295750,-4955571,-1.4731262,2.187584,291.4967
75,2016,4,21.2003,9.1341,8.3965,2695.5706,4/1/2016,-88,30.25,-7009017.5,19553742,-443714,-6018968.5,-1.5274518,0.98552847,293.69177
76,2016,5,25.5468,15.9303,7.0105,826.1472,5/1/2016,-88,30.25,-9945546,22709626,-695405,-6460944,-0.25757438,1.0666168,297.2918
77,2016,6,29.277,19.017,6.4997,434.9366,6/1/2016,-88,30.25,-10373737,21561858,-712794.5,-5206396.5,0.5863655,1.4598274,300.70636
78,2016,7,30.6943,21.7272,5.9371,285.1684,7/1/2016,-88,30.25,-10815602,21171210,-888063,-4931743,1.3032199,2.434247,301.68948
79,2016,8,29.9954,22.7808,6.0225,342.9439,8/1/2016,-88,30.25,-10234125,17756704,-896147.75,-4428406,-0.23083884,1.1640134,301.35233
80,2016,9,29.2176,23.1618,6.1984,208.6069,9/1/2016,-88,30.25,-10483124,17181598,-898588.25,-5339453,-0.7812981,0.16320637,300.75726
81,2016,10,24.9162,25.5633,6.8613,145.1921,10/1/2016,-88,30.25,-13975581,16694782,-940537,-7698728,-2.4885886,-1.0983065,297.7516
82,2016,11,19.4402,27.9118,7.7582,172.5958,11/1/2016,-88,30.25,-12012378,11885027,-1245617,-7546061,-1.7143564,-0.48164994,293.66513
83,2016,12,14.7673,24.2973,9.0968,452.1828,12/1/2016,-88,30.25,-9803775,8217062,-2721289.2,-4828735,-1.5248882,-1.507599,289.22714
84,2017,1,14.5259,14.4517,8.9649,2027.4829,1/1/2017,-88,30.25,-8022643.5,10870917,-2355345.8,-5799035.5,0.972505,0.5346726,288.6806
85,2017,2,16.7551,14.8309,8.6196,1223.9128,2/1/2017,-88,30.25,-5450257.5,13682064,-709591.25,-6082334,-0.04491081,0.8356962,290.50504
86,2017,3,19.127,19.7611,8.433,1549.002,3/1/2017,-88,30.25,-7915056,17199800,-1230210.5,-6233103,-1.2056485,1.0133884,291.29517
87,2017,4,23.3429,14.7304,7.6061,1843.9711,4/1/2017,-88,30.25,-8654136,21574084,-710964,-6796748,-1.0829581,2.3861146,294.95908
88,2017,5,24.5817,15.652,7.4284,1327.8935,5/1/2017,-88,30.25,-10666274,21649332,-1035569.25,-6249761.5,1.5498219,1.8200818,296.85593
89,2017,6,27.3588,11.0749,7.0093,3051.9941,6/1/2017,-88,30.25,-8092089.5,17429082,-684117,-4102934,-1.4380891,2.4196372,299.12207
90,2017,7,29.7606,8.0844,6.7835,1666.3523,7/1/2017,-88,30.25,-8755966,21007398,-703642.25,-4847818.5,1.6382078,1.1108983,301.08383
91,2017,8,29.8103,16.1747,6.4885,826.8414,8/1/2017,-88,30.25,-10238443,18116656,-850843.25,-4485867,0.15859675,1.4320807,301.22525
92,2017,9,27.4746,12.0658,7.3776,672.7505,9/1/2017,-88,30.25,-13396983,19024546,-1431868.2,-5846164,-0.49062532,-0.96104527,299.3161
93,2017,10,24.2968,17.2795,6.8161,876.1857,10/1/2017,-88,30.25,-17097060,14713288,-2343752.8,-6463052.5,-2.5686731,-0.78188074,296.679
94,2017,11,19.0921,22.4465,8.0878,721.5121,11/1/2017,-88,30.25,-11134046,12090946,-2162077.5,-7212260,-1.6186457,-1.656865,292.05383
95,2017,12,13.9016,21.5845,9.6527,1143.3045,12/1/2017,-88,30.25,-10562645,8581631,-4016659.2,-5726708.5,-0.055287622,-2.1911874,287.333
